member_id,signup_date,churn,outreach
1,2024-04-12,0,0
2,2025-03-11,0,0
3,2024-09-27,0,0
4,2024-04-16,1,0
5,2024-03-12,0,1
6,2024-01-21,0,0
7,2024-05-01,0,1
8,2025-04-11,0,1
9,2024-08-02,1,1
10,2024-11-26,0,0
11,2025-04-03,1,1
12,2024-03-28,0,1
13,2025-01-07,1,0
14,2024-04-09,1,0
15,2024-05-10,1,0
16,2024-11-04,0,1
17,2024-12-09,1,0
18,2025-05-06,0,0
19,2025-02-17,0,0
20,2025-01-20,0,1
21,2024-07-10,0,0
22,2024-10-03,0,1
23,2024-06-09,0,1
24,2025-04-04,0,0
25,2024-11-09,0,1
26,2024-01-22,0,0
27,2024-09-09,1,1
28,2025-04-19,1,0
29,2024-02-28,0,0
30,2025-05-25,1,0
31,2025-04-20,0,1
32,2024-07-08,1,1
33,2024-08-31,0,0
34,2025-05-19,1,1
35,2024-05-10,0,1
36,2025-04-29,0,1
37,2024-01-21,0,0
38,2024-06-15,0,0
39,2024-09-30,0,0
40,2025-01-22,1,1
41,2024-11-11,0,0
42,2024-01-14,0,0
43,2024-08-29,0,0
44,2024-12-11,0,0
45,2024-12-05,1,0
46,2024-04-01,0,0
47,2025-01-01,0,0
48,2025-03-30,1,1
49,2025-03-03,0,0
50,2025-05-23,1,0
51,2024-02-04,0,1
52,2024-07-24,0,1
53,2024-03-21,0,1
54,2025-01-22,0,0
55,2024-01-02,0,1
56,2025-01-24,1,0
57,2024-04-15,0,0
58,2025-04-21,1,1
59,2025-02-05,0,0
60,2024-06-10,0,0
61,2024-07-20,0,1
62,2024-09-26,0,1
63,2024-09-27,0,0
64,2025-03-31,1,1
65,2025-04-06,0,1
66,2024-09-08,0,0
67,2024-10-22,0,1
68,2024-12-03,0,0
69,2024-02-22,0,0
70,2024-08-04,0,1
71,2024-07-06,1,0
72,2025-01-14,0,1
73,2025-05-07,0,0
74,2024-02-10,0,1
75,2024-06-05,0,1
76,2024-01-15,0,0
77,2024-03-05,1,1
78,2024-12-09,0,0
79,2024-05-08,0,1
80,2025-04-16,0,0
81,2024-03-03,0,1
82,2024-05-18,0,0
83,2025-05-13,0,1
84,2025-01-26,0,0
85,2025-02-22,0,0
86,2024-10-15,1,1
87,2025-01-13,1,1
88,2025-05-04,1,0
89,2024-08-18,1,0
90,2024-02-10,0,1
91,2024-01-28,0,0
92,2024-05-14,0,0
93,2024-07-19,0,0
94,2024-02-02,1,0
95,2024-02-17,0,0
96,2025-05-17,0,1
97,2025-02-10,1,1
98,2024-04-08,0,1
99,2025-04-06,1,0
100,2024-01-05,0,1
101,2024-08-05,0,1
102,2025-05-17,0,0
103,2025-02-01,1,0
104,2025-01-27,1,1
105,2024-07-25,0,0
106,2024-01-15,0,0
107,2025-04-05,0,0
108,2024-08-28,0,0
109,2024-04-05,0,0
110,2025-04-29,1,1
111,2025-02-10,0,0
112,2024-08-18,0,0
113,2024-06-19,0,0
114,2024-02-05,0,1
115,2024-06-08,0,0
116,2024-08-30,1,0
117,2024-03-26,0,1
118,2024-01-28,0,0
119,2024-12-05,0,0
120,2024-11-26,0,0
121,2025-05-20,1,0
122,2024-12-13,0,0
123,2025-04-17,0,0
124,2024-08-18,0,0
125,2024-07-08,0,1
126,2024-08-12,0,0
127,2025-01-19,1,1
128,2025-01-11,0,1
129,2024-10-09,0,0
130,2024-09-15,0,0
131,2024-12-24,0,1
132,2025-03-31,0,0
133,2025-02-14,0,0
134,2024-11-13,0,0
135,2024-08-12,0,0
136,2024-08-21,0,1
137,2025-01-08,1,1
138,2025-04-16,0,0
139,2024-08-20,0,0
140,2024-04-22,0,1
141,2025-05-11,1,0
142,2025-03-17,1,0
143,2024-09-24,0,0
144,2025-05-24,0,1
145,2025-01-20,0,0
146,2025-01-21,0,0
147,2024-04-22,0,0
148,2024-03-21,0,0
149,2024-04-22,0,0
150,2024-01-02,0,1
151,2024-08-07,0,1
152,2024-08-12,0,0
153,2025-01-19,0,0
154,2025-02-06,0,1
155,2024-05-09,0,0
156,2024-02-22,0,0
157,2025-02-19,1,0
158,2024-09-03,0,1
159,2025-03-14,0,1
160,2024-07-21,0,0
161,2024-07-02,0,0
162,2024-05-02,0,1
163,2025-02-04,1,0
164,2024-10-20,0,0
165,2024-10-06,0,1
166,2024-07-16,0,1
167,2025-05-25,1,0
168,2024-05-23,0,1
169,2024-07-19,0,1
170,2024-05-03,0,0
171,2024-07-05,0,0
172,2024-11-21,0,0
173,2025-04-08,0,1
174,2024-12-14,1,0
175,2025-02-06,1,1
176,2024-12-11,0,0
177,2025-05-25,1,1
178,2024-05-26,0,0
179,2024-05-27,0,1
180,2025-05-03,1,0
181,2024-12-03,0,0
182,2025-04-17,1,1
183,2024-05-30,0,0
184,2025-02-18,0,0
185,2024-10-24,0,0
186,2024-09-19,1,1
187,2024-05-23,0,0
188,2024-12-11,1,0
189,2024-01-02,0,0
190,2024-10-30,0,1
191,2024-09-10,0,0
192,2025-03-28,1,0
