iter	Passed	Remaining
0	17	51221
1	33	49799
2	49	49496
3	65	49196
4	81	49045
5	98	48926
6	114	48749
7	129	48590
8	145	48463
9	161	48358
10	177	48268
11	193	48240
12	209	48175
13	225	48164
14	241	48078
15	257	48072
16	273	48028
17	289	47981
18	305	47962
19	321	47938
20	337	47883
21	353	47858
22	369	47819
23	385	47814
24	397	47300
25	413	47317
26	429	47292
27	445	47288
28	461	47277
29	477	47254
30	493	47242
31	509	47245
32	525	47247
33	541	47243
34	557	47251
35	573	47226
36	589	47218
37	605	47191
38	621	47169
39	637	47149
40	653	47134
41	669	47129
42	685	47116
43	701	47128
44	717	47106
45	733	47108
46	749	47099
47	765	47083
48	781	47063
49	797	47052
50	813	47035
51	829	47028
52	845	47014
53	861	46997
54	877	46982
55	893	46984
56	909	46967
57	925	46950
58	941	46937
59	957	46919
60	973	46892
61	989	46896
62	1005	46875
63	1021	46851
64	1037	46842
65	1049	46674
66	1066	46669
67	1082	46658
68	1097	46639
69	1113	46620
70	1129	46606
71	1145	46591
72	1161	46572
73	1177	46565
74	1193	46546
75	1209	46545
76	1226	46546
77	1242	46536
78	1258	46521
79	1274	46509
80	1290	46495
81	1306	46482
82	1322	46470
83	1338	46456
84	1354	46444
85	1370	46425
86	1385	46405
87	1401	46390
88	1417	46376
89	1433	46357
90	1449	46338
91	1465	46327
92	1481	46311
93	1497	46291
94	1513	46282
95	1529	46260
96	1545	46244
97	1561	46229
98	1576	46210
99	1592	46191
100	1608	46175
101	1624	46157
102	1640	46140
103	1656	46127
104	1672	46109
105	1688	46095
106	1704	46077
107	1720	46058
108	1736	46048
109	1752	46042
110	1768	46033
111	1784	46027
112	1801	46020
113	1817	46013
114	1833	46003
115	1849	45993
116	1865	45975
117	1876	45829
118	1892	45819
119	1908	45806
120	1920	45705
121	1936	45691
122	1952	45677
123	1968	45666
124	1984	45654
125	2000	45638
126	2016	45625
127	2032	45614
128	2048	45599
129	2064	45585
130	2080	45570
131	2096	45554
132	2112	45543
133	2128	45531
134	2140	45419
135	2156	45408
136	2172	45397
137	2188	45382
138	2204	45366
139	2219	45350
140	2235	45337
141	2251	45320
142	2267	45302
143	2283	45284
144	2299	45268
145	2314	45252
146	2330	45238
147	2346	45224
148	2362	45208
149	2378	45193
150	2394	45179
151	2410	45170
152	2426	45154
153	2442	45139
154	2458	45124
155	2474	45105
156	2485	45009
157	2501	45001
158	2517	44988
159	2533	44975
160	2549	44965
161	2565	44947
162	2581	44933
163	2597	44922
164	2613	44909
165	2629	44895
166	2641	44816
167	2657	44803
168	2673	44791
169	2689	44776
170	2705	44765
171	2718	44695
172	2734	44686
173	2750	44674
174	2766	44658
175	2782	44641
176	2798	44627
177	2814	44613
178	2829	44599
179	2846	44588
180	2861	44573
181	2877	44561
182	2893	44546
183	2909	44531
184	2925	44517
185	2941	44502
186	2957	44488
187	2973	44477
188	2989	44466
189	3005	44452
190	3021	44441
191	3037	44426
192	3053	44413
193	3069	44399
194	3085	44386
195	3101	44371
196	3117	44355
197	3133	44339
198	3144	44262
199	3160	44250
200	3176	44234
201	3192	44219
202	3208	44204
203	3224	44188
204	3239	44172
205	3255	44158
206	3271	44145
207	3287	44130
208	3303	44117
209	3319	44101
210	3335	44087
211	3351	44073
212	3367	44057
213	3383	44043
214	3394	43965
215	3410	43952
216	3427	43957
217	3443	43944
218	3459	43928
219	3475	43918
220	3491	43906
221	3507	43892
222	3518	43820
223	3534	43807
224	3551	43796
225	3566	43781
226	3582	43769
227	3599	43756
228	3614	43742
229	3630	43726
230	3646	43712
231	3662	43702
232	3675	43644
233	3691	43632
234	3707	43620
235	3723	43605
236	3739	43591
237	3755	43579
238	3771	43564
239	3786	43549
240	3803	43538
241	3819	43525
242	3834	43510
243	3850	43496
244	3866	43481
245	3882	43466
246	3898	43452
247	3914	43436
248	3930	43424
249	3946	43409
250	3962	43396
251	3978	43383
252	3994	43368
253	4009	43351
254	4026	43340
255	4036	43269
256	4053	43259
257	4068	43244
258	4084	43230
259	4100	43217
260	4117	43206
261	4132	43191
262	4149	43180
263	4165	43171
264	4181	43158
265	4197	43143
266	4213	43128
267	4229	43115
268	4245	43101
269	4261	43087
270	4277	43074
271	4293	43061
272	4309	43052
273	4326	43041
274	4342	43030
275	4358	43021
276	4375	43009
277	4391	42994
278	4407	42981
279	4418	42921
280	4434	42909
281	4450	42897
282	4466	42883
283	4482	42868
284	4498	42856
285	4514	42841
286	4530	42824
287	4546	42810
288	4562	42795
289	4577	42779
290	4593	42765
291	4609	42752
292	4625	42738
293	4641	42724
294	4657	42710
295	4673	42694
296	4685	42638
297	4701	42626
298	4717	42610
299	4732	42596
300	4748	42580
301	4764	42565
302	4780	42553
303	4796	42540
304	4812	42527
305	4828	42513
306	4844	42499
307	4861	42487
308	4876	42470
309	4892	42456
310	4908	42440
311	4924	42424
312	4940	42411
313	4956	42399
