K_features,n_used,model,variant,OOF_AUQC,overall_uplift_all,Uplift10,Saved10,Uplift30,Saved30,n_pos(score>0),n_guard(score>0.005)
60,60,A_logreg_tlearner,CHURN_INTENSITY=1.5,0.1588744083545751,0.0388059537782707,0.07205684524334807,72.05684524334808,0.058868971568046075,176.60691470413823,6876,6122
60,60,A_logreg_tlearner,CHURN_INTENSITY=1.2,0.15156760301898198,0.0388059537782707,0.06375555944388703,63.75555944388703,0.05934919579849324,178.04758739547972,6876,6316
60,60,A_logreg_tlearner,CHURN_INTENSITY=1.0,0.14513953238261193,0.0388059537782707,0.05503732413698012,55.03732413698012,0.06123625748001549,183.70877244004646,6876,6412
60,60,A_logreg_tlearner,CHURN_INTENSITY=0.6,0.13479510307633047,0.0388059537782707,0.05691970916398001,56.91970916398001,0.05824455278094634,174.73365834283902,6876,6567
80,80,A_logreg_tlearner,CHURN_INTENSITY=1.5,0.12674655012034167,0.03841161798664036,0.07685692784348347,76.85692784348348,0.06791426800336614,203.7428040100984,6731,6002
80,80,A_logreg_tlearner,CHURN_INTENSITY=1.2,0.12436120188483973,0.03841161798664036,0.07346256658746045,73.46256658746044,0.06174205953433182,185.22617860299545,6731,6194
80,80,A_logreg_tlearner,CHURN_INTENSITY=1.0,0.12360008395109143,0.03841161798664036,0.07357027914884043,73.57027914884043,0.0633277979823145,189.9833939469435,6731,6296
60,60,A_logreg_tlearner,CHURN_INTENSITY=0.2,0.1226865297076311,0.0388059537782707,0.059229171001424524,59.229171001424525,0.05386589427310312,161.59768281930937,6876,6654
80,80,C_mlp_twohead,RAND,0.12019382261932197,0.03841161798664036,0.045858514001201084,45.85851400120109,0.057700533654189534,173.1016009625686,5076,5066
80,80,A_logreg_tlearner,CHURN_INTENSITY=0.6,0.11970657482060139,0.03841161798664036,0.07866848909915866,78.66848909915866,0.06478486248705992,194.35458746117976,6731,6440
80,80,A_logreg_tlearner,CHURN_INTENSITY=0.2,0.11969872412344426,0.03841161798664036,0.09068393678319583,90.68393678319583,0.06793259640347143,203.7977892104143,6731,6534
80,80,A_logreg_tlearner,BASE,0.11774071477575795,0.03841161798664036,0.0874884829813839,87.4884829813839,0.06623477100942932,198.70431302828794,6731,6563
100,99,A_logreg_tlearner,CHURN_INTENSITY=1.5,0.1165130934118844,0.038529604438258175,0.05659429977821409,56.59429977821409,0.07102459909453049,213.07379728359146,6701,5998
60,60,A_logreg_tlearner,BASE,0.11597698440580881,0.0388059537782707,0.055292081230252116,55.292081230252116,0.04696834592288199,140.90503776864597,6876,6684
100,99,A_logreg_tlearner,CHURN_INTENSITY=1.2,0.11400223403880921,0.038529604438258175,0.0702047264368644,70.2047264368644,0.06635262210634846,199.05786631904536,6701,6201
100,99,A_logreg_tlearner,CHURN_INTENSITY=1.0,0.11088223192073324,0.038529604438258175,0.06966131372559187,69.66131372559187,0.0658427603689915,197.5282811069745,6701,6306
100,99,A_logreg_tlearner,CHURN_INTENSITY=0.6,0.1049310445757978,0.038529604438258175,0.08023257580048593,80.23257580048593,0.058494894226180066,175.4846826785402,6701,6450
100,99,A_logreg_tlearner,CHURN_INTENSITY=0.2,0.100013369057881,0.038529604438258175,0.08087600752258536,80.87600752258537,0.055444708116071356,166.33412434821406,6701,6521
100,99,A_logreg_tlearner,BASE,0.09910031720742238,0.038529604438258175,0.08245294605707298,82.45294605707298,0.05340079145787821,160.20237437363463,6701,6551
80,80,A_logreg_tlearner,RISK_p0,0.09491764975695893,0.03841161798664036,0.05836985531145883,58.36985531145883,0.043898477170302874,131.69543151090863,10000,9996
80,80,C_mlp_twohead,RISK_p0,0.09416335061491549,0.03841161798664036,0.05811558188870303,58.115581888703026,0.06394930954992273,191.8479286497682,10000,10000
100,99,A_logreg_tlearner,RISK_p0,0.0824806305398233,0.038529604438258175,0.061286085190977,61.286085190977005,0.040551599464616894,121.65479839385068,10000,9982
60,60,C_mlp_twohead,RISK_p0,0.08159463207341061,0.0388059537782707,0.02240815866332485,22.40815866332485,0.05710158241607516,171.30474724822548,10000,10000
60,60,A_logreg_tlearner,RISK_p0,0.08139613873653329,0.0388059537782707,0.06305659853409806,63.056598534098065,0.04669287183889015,140.07861551667045,10000,9989
20,20,B_boost_tlearner,RAND,0.08029053529212272,0.03815227855099054,0.053526995827138685,53.526995827138684,0.06228525362421114,186.85576087263343,5043,5029
100,99,C_mlp_twohead,RISK_p0,0.06513059606276479,0.038529604438258175,0.023014523805141573,23.01452380514157,0.04600121704720883,138.0036511416265,10000,10000
20,20,C_mlp_twohead,RISK_p0,0.06289597668445585,0.03815227855099054,0.025250721344526994,25.250721344526994,0.05270250978853991,158.1075293656197,10000,10000
60,60,C_mlp_twohead,RAND,0.057100378489321216,0.0388059537782707,0.08337342270322645,83.37342270322645,0.05586418923493286,167.59256770479857,5039,5011
100,99,B_boost_tlearner,CHURN_INTENSITY=1.2,0.05672184180911154,0.038529604438258175,0.05091071161391714,50.91071161391714,0.05819925147360597,174.5977544208179,6891,4696
40,40,C_mlp_twohead,RISK_p0,0.05619484092265045,0.037940703995713615,-0.003410192608209406,-3.410192608209406,0.047300232715567436,141.9006981467023,10000,10000
100,99,B_boost_tlearner,CHURN_INTENSITY=1.5,0.056171445292494855,0.038529604438258175,0.07311262428285631,73.1126242828563,0.05325731262543154,159.77193787629463,6891,3934
20,20,A_logreg_tlearner,RAND,0.05604972479109306,0.03815227855099054,0.04478068833814827,44.78068833814827,0.04665405436694672,139.96216310084017,5072,5054
100,99,B_boost_tlearner,CHURN_INTENSITY=1.0,0.05579372166323386,0.038529604438258175,0.05690775320565311,56.90775320565311,0.05253788971488299,157.61366914464898,6891,5229
100,99,B_boost_tlearner,CHURN_INTENSITY=0.6,0.05532637575164729,0.038529604438258175,0.03877982593988316,38.77982593988316,0.04831543264333582,144.94629793000746,6891,6090
100,99,B_boost_tlearner,CHURN_INTENSITY=0.2,0.05262878510780925,0.038529604438258175,0.04221923405125516,42.219234051255164,0.049259286792612544,147.77786037783764,6891,6591
100,99,B_boost_tlearner,BASE,0.04864391378431455,0.038529604438258175,0.033684576829926954,33.684576829926954,0.051630585052021366,154.8917551560641,6891,6694
40,40,A_logreg_tlearner,RISK_p0,0.043659140312984394,0.037940703995713615,0.01961078358919499,19.61078358919499,0.035409019874032666,106.227059622098,10000,9996
100,99,B_boost_tlearner,RISK_p0,0.043041538888976674,0.038529604438258175,0.027246215661287876,27.246215661287877,0.05144788520171273,154.3436556051382,10000,10000
20,20,A_logreg_tlearner,RISK_p0,0.035534228952792624,0.03815227855099054,0.03081525558678233,30.81525558678233,0.05096470992398122,152.89412977194365,10000,10000
60,60,C_mlp_twohead,BASE,0.030768251584255786,0.0388059537782707,0.04407310539132503,44.07310539132503,0.03694536018542005,110.83608055626016,7386,7117
60,60,C_mlp_twohead,CHURN_INTENSITY=0.6,0.030350756020041874,0.0388059537782707,0.04420136839562547,44.201368395625465,0.046365103532732876,139.09531059819864,7386,6942
60,60,C_mlp_twohead,CHURN_INTENSITY=1.0,0.030060167245417855,0.0388059537782707,0.030928548739868222,30.928548739868223,0.055482405239070304,166.44721571721092,7386,6724
60,60,C_mlp_twohead,CHURN_INTENSITY=0.2,0.029782219889371457,0.0388059537782707,0.04195144376617993,41.95144376617993,0.03855495540450557,115.6648662135167,7386,7072
60,60,C_mlp_twohead,CHURN_INTENSITY=1.2,0.029660248188243248,0.0388059537782707,0.038607499411138724,38.607499411138726,0.057022721864659565,171.0681655939787,7386,6575
60,60,A_logreg_tlearner,RAND,0.029592333749767226,0.0388059537782707,0.017118015742519865,17.118015742519866,0.021308336984588255,63.92501095376477,4967,4943
20,20,C_mlp_twohead,CHURN_INTENSITY=1.5,0.028930296828551277,0.03815227855099054,0.05263976202221185,52.63976202221185,0.05528161249481331,165.84483748443992,8933,8175
